security_name,datetime,open,high,low,close,volume,buy_sell_signal
BTCUSDT,2024-01-01 05:30:00,42283.58,44184.1,42180.77,44179.55,27174.29903,0
BTCUSDT,2024-01-02 05:30:00,44179.55,45879.63,44148.34,44946.91,65146.40661,1
BTCUSDT,2024-01-03 05:30:00,44946.91,45500.0,40750.0,42845.23,81194.55173,-1
BTCUSDT,2024-01-04 05:30:00,42845.23,44729.58,42613.77,44151.1,48038.06334,-1
BTCUSDT,2024-01-05 05:30:00,44151.1,44357.46,42450.0,44145.11,48075.25327,-1
BTCUSDT,2024-01-06 05:30:00,44145.12,44214.42,43397.05,43968.32,17835.06144,-1
BTCUSDT,2024-01-07 05:30:00,43968.32,44480.59,43572.09,43929.02,23023.8508,-1
BTCUSDT,2024-01-08 05:30:00,43929.01,47248.99,43175.0,46951.04,72814.57589,1
BTCUSDT,2024-01-09 05:30:00,46951.04,47972.0,44748.67,46110.0,69927.66617,1
BTCUSDT,2024-01-10 05:30:00,46110.0,47695.93,44300.36,46653.99,89911.41203,1
BTCUSDT,2024-01-11 05:30:00,46654.0,48969.48,45606.06,46339.16,87470.3296,1
BTCUSDT,2024-01-12 05:30:00,46339.16,46515.53,41500.0,42782.73,86327.93707,1
BTCUSDT,2024-01-13 05:30:00,42782.74,43257.0,42436.12,42847.99,36118.47464,1
BTCUSDT,2024-01-14 05:30:00,42847.99,43079.0,41720.0,41732.35,28228.40894,-1
BTCUSDT,2024-01-15 05:30:00,41732.35,43400.43,41718.05,42511.1,40269.89303,-1
BTCUSDT,2024-01-16 05:30:00,42511.1,43578.01,42050.0,43137.95,45045.74589,-1
BTCUSDT,2024-01-17 05:30:00,43137.94,43198.0,42200.69,42776.1,33266.21388,-1
BTCUSDT,2024-01-18 05:30:00,42776.09,42930.0,40683.28,41327.5,43907.51641,-1
BTCUSDT,2024-01-19 05:30:00,41327.51,42196.86,40280.0,41659.03,48342.74559,-1
BTCUSDT,2024-01-20 05:30:00,41659.03,41872.56,41456.3,41696.04,15923.99493,-1
BTCUSDT,2024-01-21 05:30:00,41696.05,41881.39,41500.98,41580.33,11730.16301,-1
BTCUSDT,2024-01-22 05:30:00,41580.32,41689.65,39431.58,39568.02,55426.19911,-1
BTCUSDT,2024-01-23 05:30:00,39568.02,40176.74,38555.0,39897.6,57956.63351,-1
BTCUSDT,2024-01-24 05:30:00,39897.59,40555.0,39484.19,40084.88,39293.82861,-1
BTCUSDT,2024-01-25 05:30:00,40084.89,40300.24,39550.0,39961.09,31022.11853,-1
BTCUSDT,2024-01-26 05:30:00,39961.09,42246.82,39822.52,41823.51,47384.96726,-1
BTCUSDT,2024-01-27 05:30:00,41823.51,42200.0,41394.34,42120.63,16224.41667,-1
